OID,protein_name,panel,current_pathway_rule_label,literature_aligned_pathway,allow_multiple_pathways,review_status
OID01463,GUSB,DEVELOPMENT,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID00322,HAGH,NEUROLOGY,Oxidative_redox_hypoxia_stress,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID00470,HAOX1,CARDIOVASCULAR_II,Oxidative_redox_hypoxia_stress,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID05417,HEXA,ONCOLOGY_III,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID05207,HMOX2,NEURO_EXPLORATORY,Oxidative_redox_hypoxia_stress,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID00432,HO-1,CARDIOVASCULAR_II,Oxidative_redox_hypoxia_stress,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID00465,HSP 27,CARDIOVASCULAR_II,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID05159,HSP90B1,NEURO_EXPLORATORY,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID05467,HSPB6,ONCOLOGY_III,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01402,HTRA2,DEVELOPMENT,Apoptosis_cell_death_DNA_damage,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01402,HTRA2,DEVELOPMENT,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID00393,IDUA,CARDIOVASCULAR_II,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01148,KLK10,METABOLISM,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01395,KLK12,CELL_REGULATION,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID00658,KLK13,ONCOLOGY_II,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID05411,KLK4,ONCOLOGY_III,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID00647,KLK6,CARDIOVASCULAR_III,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01015,LAMP3,IMMUNE_RESPONSE,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01460,LGMN,DEVELOPMENT,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01097,METAP1,ORGAN_DAMAGE,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01360,METAP1D,CELL_REGULATION,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID00600,MPO,CARDIOVASCULAR_III,Oxidative_redox_hypoxia_stress,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID00692,MetAP 2,ONCOLOGY_II,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01087,NBN,ORGAN_DAMAGE,Apoptosis_cell_death_DNA_damage,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01102,NCF2,ORGAN_DAMAGE,Oxidative_redox_hypoxia_stress,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01173,NQO2,METABOLISM,Oxidative_redox_hypoxia_stress,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01423,PARK7,DEVELOPMENT,Oxidative_redox_hypoxia_stress,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID00469,PARP-1,CARDIOVASCULAR_II,Apoptosis_cell_death_DNA_damage,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01098,PDCD1,ORGAN_DAMAGE,Apoptosis_cell_death_DNA_damage,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01082,PON2,ORGAN_DAMAGE,Oxidative_redox_hypoxia_stress,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID00642,PON3,CARDIOVASCULAR_III,Oxidative_redox_hypoxia_stress,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID00952,PRDX1,IMMUNE_RESPONSE,Oxidative_redox_hypoxia_stress,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID00953,PRDX3,IMMUNE_RESPONSE,Oxidative_redox_hypoxia_stress,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID00955,PRDX5,IMMUNE_RESPONSE,Oxidative_redox_hypoxia_stress,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01343,PRDX6,CELL_REGULATION,Oxidative_redox_hypoxia_stress,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01236,PRSS2,CARDIOMETABOLIC,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID00397,PRSS27,CARDIOVASCULAR_II,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID00447,PRSS8,CARDIOVASCULAR_II,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01104,PSMA1,ORGAN_DAMAGE,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID05480,PSMD9,ONCOLOGY_III,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID05187,PSME1,NEURO_EXPLORATORY,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01111,RRM2B,ORGAN_DAMAGE,Apoptosis_cell_death_DNA_damage,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID00538,SIRT2,INFLAMMATION,Oxidative_redox_hypoxia_stress,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01057,SIRT5,ORGAN_DAMAGE,Oxidative_redox_hypoxia_stress,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01222,SOD1,CARDIOMETABOLIC,Oxidative_redox_hypoxia_stress,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID00413,SOD2,CARDIOVASCULAR_II,Oxidative_redox_hypoxia_stress,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01465,STIP1,DEVELOPMENT,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID00392,STK4,CARDIOVASCULAR_II,Apoptosis_cell_death_DNA_damage,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01185,SUMF2,METABOLISM,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01041,TIGAR,ORGAN_DAMAGE,Oxidative_redox_hypoxia_stress,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID00391,TNFRSF10A,CARDIOVASCULAR_II,Apoptosis_cell_death_DNA_damage,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01309,TNFRSF10A,CELL_REGULATION,Apoptosis_cell_death_DNA_damage,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID00594,TNFRSF10C,CARDIOVASCULAR_III,Apoptosis_cell_death_DNA_damage,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01036,TOP2B,ORGAN_DAMAGE,Apoptosis_cell_death_DNA_damage,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01331,TP53,CELL_REGULATION,Apoptosis_cell_death_DNA_damage,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01490,TPP1,DEVELOPMENT,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID00488,TRAIL,INFLAMMATION,Apoptosis_cell_death_DNA_damage,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID00672,TRAIL,ONCOLOGY_II,Apoptosis_cell_death_DNA_damage,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID05451,TXNDC15,ONCOLOGY_III,Oxidative_redox_hypoxia_stress,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01176,TXNDC5,METABOLISM,Oxidative_redox_hypoxia_stress,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID05179,UBE2F,NEURO_EXPLORATORY,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID00385,ADAM-TS13,CARDIOVASCULAR_II,Coagulation_platelet_fibrinolysis,Complement / coagulation / platelet axis,yes,needs biologist review
OID05427,C1QA,ONCOLOGY_III,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID01301,C1QTNF1,CARDIOMETABOLIC,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID01233,C2,CARDIOMETABOLIC,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID00577,CD163,CARDIOVASCULAR_III,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID05161,CD33,NEURO_EXPLORATORY,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID00382,CD40-L,CARDIOVASCULAR_II,Coagulation_platelet_fibrinolysis,Complement / coagulation / platelet axis,yes,needs biologist review
OID01251,CD46,CARDIOMETABOLIC,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID01248,CD59,CARDIOMETABOLIC,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID00639,CD93,CARDIOVASCULAR_III,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID01302,CFHR5,CARDIOMETABOLIC,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID00633,CHI3L1,CARDIOVASCULAR_III,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID00605,CHIT1,CARDIOVASCULAR_III,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID00349,CLEC10A,NEUROLOGY,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID01416,CLEC11A,DEVELOPMENT,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID01451,CLEC14A,DEVELOPMENT,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID01031,CLEC1A,ORGAN_DAMAGE,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID00318,CLEC1B,NEUROLOGY,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID00951,CLEC4A,IMMUNE_RESPONSE,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID00949,CLEC4C,IMMUNE_RESPONSE,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID00988,CLEC4D,IMMUNE_RESPONSE,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID00944,CLEC4G,IMMUNE_RESPONSE,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID01135,CLEC5A,METABOLISM,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID01017,CLEC6A,IMMUNE_RESPONSE,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID01016,CLEC7A,IMMUNE_RESPONSE,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID01258,CR2,CARDIOMETABOLIC,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID01227,F11,CARDIOMETABOLIC,Coagulation_platelet_fibrinolysis,Complement / coagulation / platelet axis,yes,needs biologist review
OID01239,F7,CARDIOMETABOLIC,Coagulation_platelet_fibrinolysis,Complement / coagulation / platelet axis,yes,needs biologist review
OID05175,FCAR,NEURO_EXPLORATORY,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID01244,FCGR2A,CARDIOMETABOLIC,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID01219,FCGR3B,CARDIOMETABOLIC,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID01290,FCN2,CARDIOMETABOLIC,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID01126,FCRL1,METABOLISM,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID00984,FCRL3,IMMUNE_RESPONSE,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID01419,FCRL5,DEVELOPMENT,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID01006,FCRL6,IMMUNE_RESPONSE,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID00744,FCRLB,ONCOLOGY_II,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID00352,FcRL2,NEUROLOGY,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID01234,GP1BA,CARDIOMETABOLIC,Coagulation_platelet_fibrinolysis,Complement / coagulation / platelet axis,yes,needs biologist review
OID05026,GP6,CARDIOVASCULAR_III,Coagulation_platelet_fibrinolysis,Complement / coagulation / platelet axis,yes,needs biologist review
OID01410,HAVCR2,DEVELOPMENT,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID00373,LAIR-2,NEUROLOGY,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID01488,LAIR1,DEVELOPMENT,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID01155,LILRA5,METABOLISM,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID01297,LILRB1,CARDIOMETABOLIC,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID01296,LILRB2,CARDIOMETABOLIC,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID00965,LILRB4,IMMUNE_RESPONSE,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID01220,LILRB5,CARDIOMETABOLIC,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID00974,LY75,IMMUNE_RESPONSE,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID00453,MARCO,CARDIOVASCULAR_II,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID01014,MASP1,IMMUNE_RESPONSE,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID01243,MBL2,CARDIOMETABOLIC,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID00425,MERTK,CARDIOVASCULAR_II,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID00310,MSR1,NEUROLOGY,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID00591,PAI,CARDIOVASCULAR_III,Coagulation_platelet_fibrinolysis,Complement / coagulation / platelet axis,yes,needs biologist review
OID00395,PAR-1,CARDIOVASCULAR_II,Coagulation_platelet_fibrinolysis,Complement / coagulation / platelet axis,yes,needs biologist review
OID01456,PEAR1,DEVELOPMENT,Coagulation_platelet_fibrinolysis,Complement / coagulation / platelet axis,yes,needs biologist review
OID00623,PGLYRP1,CARDIOVASCULAR_III,Coagulation_platelet_fibrinolysis,Complement / coagulation / platelet axis,yes,needs biologist review
OID00623,PGLYRP1,CARDIOVASCULAR_III,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID01420,PILRA,DEVELOPMENT,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID01149,PILRB,METABOLISM,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID01228,PROC,CARDIOMETABOLIC,Coagulation_platelet_fibrinolysis,Complement / coagulation / platelet axis,yes,needs biologist review
OID00336,SCARA5,NEUROLOGY,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID01459,SCARF1,DEVELOPMENT,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID00342,SCARF2,NEUROLOGY,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID00574,SELP,CARDIOVASCULAR_III,Coagulation_platelet_fibrinolysis,Complement / coagulation / platelet axis,yes,needs biologist review
OID01229,SERPINA5,CARDIOMETABOLIC,Coagulation_platelet_fibrinolysis,Complement / coagulation / platelet axis,yes,needs biologist review
OID00315,SIGLEC1,NEUROLOGY,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID01375,SIGLEC10,CELL_REGULATION,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID01317,SIGLEC6,CELL_REGULATION,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID01160,SIGLEC7,METABOLISM,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID00294,Siglec-9,NEUROLOGY,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID00399,TF,CARDIOVASCULAR_II,Coagulation_platelet_fibrinolysis,Complement / coagulation / platelet axis,yes,needs biologist review
OID00590,TFPI,CARDIOVASCULAR_III,Coagulation_platelet_fibrinolysis,Complement / coagulation / platelet axis,yes,needs biologist review
OID00675,TFPI-2,ONCOLOGY_II,Coagulation_platelet_fibrinolysis,Complement / coagulation / platelet axis,yes,needs biologist review
OID00427,THBS2,CARDIOVASCULAR_II,Coagulation_platelet_fibrinolysis,Complement / coagulation / platelet axis,yes,needs biologist review
OID01268,THBS4,CARDIOMETABOLIC,Coagulation_platelet_fibrinolysis,Complement / coagulation / platelet axis,yes,needs biologist review
OID00452,THPO,CARDIOVASCULAR_II,Coagulation_platelet_fibrinolysis,Complement / coagulation / platelet axis,yes,needs biologist review
OID01298,TIMD4,CARDIOMETABOLIC,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID00991,TREM1,IMMUNE_RESPONSE,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID01448,VSIG4,DEVELOPMENT,Complement_innate_immune_phagocytosis,Complement / coagulation / platelet axis,yes,needs biologist review
OID00635,t-PA,CARDIOVASCULAR_III,Coagulation_platelet_fibrinolysis,Complement / coagulation / platelet axis,yes,needs biologist review
OID00631,uPA,CARDIOVASCULAR_III,Coagulation_platelet_fibrinolysis,Complement / coagulation / platelet axis,yes,needs biologist review
OID00481,uPA,INFLAMMATION,Coagulation_platelet_fibrinolysis,Complement / coagulation / platelet axis,yes,needs biologist review
OID00651,vWF,CARDIOVASCULAR_III,Coagulation_platelet_fibrinolysis,Complement / coagulation / platelet axis,yes,needs biologist review
OID00380,ANGPT1,CARDIOVASCULAR_II,Angiogenesis_vascular_repair_growth_factor,Endothelial / BBB / neurovascular unit,yes,needs biologist review
OID00380,ANGPT1,CARDIOVASCULAR_II,Endothelial_activation_BBB_neurovascular_unit,Endothelial / BBB / neurovascular unit,yes,needs biologist review
OID01132,ANGPT2,METABOLISM,Angiogenesis_vascular_repair_growth_factor,Endothelial / BBB / neurovascular unit,yes,needs biologist review
OID01132,ANGPT2,METABOLISM,Endothelial_activation_BBB_neurovascular_unit,Endothelial / BBB / neurovascular unit,yes,needs biologist review
OID01150,ANGPTL1,METABOLISM,Angiogenesis_vascular_repair_growth_factor,Endothelial / BBB / neurovascular unit,yes,needs biologist review
OID01150,ANGPTL1,METABOLISM,Endothelial_activation_BBB_neurovascular_unit,Endothelial / BBB / neurovascular unit,yes,needs biologist review
OID01306,ANGPTL3,CARDIOMETABOLIC,Angiogenesis_vascular_repair_growth_factor,Endothelial / BBB / neurovascular unit,yes,needs biologist review
